Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
65536       8192      int64     sum       w         11.996800         5.463         4.780       
131072      16384     int64     sum       w         12.092800         10.839        9.484       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     prod      w         11.657600         0.005         0.005       
128         16        int64     prod      w         11.792000         0.011         0.009       
256         32        int64     prod      w         11.769600         0.022         0.019       
512         64        int64     prod      w         11.686400         0.044         0.038       
1024        128       int64     prod      w         11.737600         0.087         0.076       
2048        256       int64     prod      w         11.830400         0.173         0.151       
4096        512       int64     prod      w         11.769600         0.348         0.305       
8192        1024      int64     prod      w         11.804800         0.694         0.607       
16384       2048      int64     prod      w         11.852800         1.382         1.210       
32768       4096      int64     prod      w         11.756800         2.787         2.439       
65536       8192      int64     prod      w         11.721600         5.591         4.892       
131072      16384     int64     prod      w         11.958400         10.961        9.591       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     and       w         12.035200         0.005         0.005       
128         16        int64     and       w         12.000000         0.011         0.009       
256         32        int64     and       w         12.316800         0.021         0.018       
512         64        int64     and       w         12.425600         0.041         0.036       
1024        128       int64     and       w         12.022400         0.085         0.075       
2048        256       int64     and       w         11.945600         0.171         0.150       
4096        512       int64     and       w         12.291200         0.333         0.292       
8192        1024      int64     and       w         11.891200         0.689         0.603       
16384       2048      int64     and       w         12.323200         1.330         1.163       
