Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     and       w         39.049599         0.000         0.000       
16          2         int64     and       w         39.049599         0.000         0.001       
32          4         int64     and       w         38.947201         0.001         0.002       
64          8         int64     and       w         39.020801         0.002         0.003       
128         16        int64     and       w         39.881599         0.003         0.006       
256         32        int64     and       w         38.988799         0.007         0.012       
512         64        int64     and       w         39.801601         0.013         0.024       
1024        128       int64     and       w         42.256001         0.024         0.045       
2048        256       int64     and       w         48.076800         0.043         0.080       
4096        512       int64     and       w         57.840002         0.071         0.133       
8192        1024      int64     and       w         77.484798         0.106         0.198       
16384       2048      int64     and       w         115.983999        0.141         0.265       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     or        w         39.740801         0.000         0.000       
16          2         int64     or        w         39.046401         0.000         0.001       
32          4         int64     or        w         39.059201         0.001         0.002       
64          8         int64     or        w         38.995200         0.002         0.003       
128         16        int64     or        w         39.872000         0.003         0.006       
256         32        int64     or        w         38.998401         0.007         0.012       
512         64        int64     or        w         39.907199         0.013         0.024       
1024        128       int64     or        w         43.123201         0.024         0.045       
2048        256       int64     or        w         48.032001         0.043         0.080       
4096        512       int64     or        w         58.627200         0.070         0.131       
8192        1024      int64     or        w         76.643199         0.107         0.200       
16384       2048      int64     or        w         116.841602        0.140         0.263       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
srun: forcing job termination
srun: forcing job termination
srun: got SIGCONT
srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** STEP 1420886.179 ON h200-bar-202-059 CANCELLED AT 2026-05-05T00:22:49 ***
8           1         int64     xor       w         39.046401         0.000         0srun: error: h200-bar-202-061: tasks 8-15: Killed
srun: error: h200-bar-202-059: tasks 0-7: Killed
srun: Force Terminated StepId=1420886.179
