Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
512         128       int32     min       w         15.254401         0.034         0.059       
1024        256       int32     min       w         18.556800         0.055         0.097       
2048        512       int32     min       w         27.539200         0.074         0.130       
4096        1024      int32     min       w         41.481599         0.099         0.173       
8192        2048      int32     min       w         72.627199         0.113         0.197       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       w         11.939200         0.000         0.001       
8           2         int32     max       w         11.952000         0.001         0.001       
16          4         int32     max       w         11.990400         0.001         0.002       
32          8         int32     max       w         11.888000         0.003         0.005       
64          16        int32     max       w         11.968000         0.005         0.009       
128         32        int32     max       w         12.035200         0.011         0.019       
256         64        int32     max       w         12.889600         0.020         0.035       
512         128       int32     max       w         15.232000         0.034         0.059       
1024        256       int32     max       w         18.473600         0.055         0.097       
2048        512       int32     max       w         27.504000         0.074         0.130       
4096        1024      int32     max       w         41.488001         0.099         0.173       
8192        2048      int32     max       w         72.636801         0.113         0.197       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       w         11.942400         0.001         0.001       
16          2         int64     sum       w         11.939200         0.001         0.002       
32          4         int64     sum       w         11.990400         0.003         0.005       
64          8         int64     sum       w         12.000000         0.005         0.009       
128         16        int64     sum       w         12.841600         0.010         0.017       
256         32        int64     sum       w         11.984000         0.021         0.037       
512         64        int64     sum       w         12.790400         0.040         0.070       
1024        128       int64     sum       w         15.152000         0.068         0.118       
2048        256       int64     sum       w         19.392000         0.106         0.185       
4096        512       int64     sum       w         27.587199         0.148         0.260       
8192        1024      int64     sum       w         43.107200         0.190         0.333       
16384       2048      int64     sum       w         75.260800         0.218         0.381       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     prod      w         12.643200         0.001         0.001       
16          2         int64     prod      w         11.936000         0.001         0.002       
32          4         int64     prod      w         12.038400         0.003         0.005       
64          8         int64     prod      w         11.916800         0.005         0.009       
128         16        int64     prod      w         11.942400         0.011         0.019       
256         32        int64     prod      w         11.913600         0.021         0.038       
512         64        int64     prod      w         12.822400         0.040         0.070       
1024        128       int64     prod      w         15.331200         0.067         0.117       
2048        256       int64     prod      w         19.379200         0.106         0.185       
4096        512       int64     prod      w         26.652801         0.154         0.269       
8192        1024      int64     prod      w         43.097600         0.190         0.333       
16384       2048      int64     prod      w         74.227202         0.221         0.386       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     and       w         12.726399         0.001         0.001       
16          2         int64     and       w         11.913600         0.001         0.002       
32          4         int64     and       w         11.942400         0.003         0.005       
64          8         int64     and       w         12.000000         0.005         0.009       
128         16        int64     and       w         11.993600         0.011         0.019       
256         32        int64     and       w         12.025600         0.021         0.037       
512         64        int64     and       w         12.790400         0.040         0.070       
1024        128       int64     and       w         15.142401         0.068         0.118       
2048        256       int64     and       w         19.340800         0.106         0.185       
4096        512       int64     and       w         26.780799         0.153         0.268       
8192        1024      int64     and       w         42.220801         0.194         0.340       
16384       2048      int64     and       w         73.343998         0.223         0.391       
