Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
262144      32768     int64     sum       w         61.532801         4.260         3.994       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     prod      w         62.390399         0.002         0.002       
256         32        int64     prod      w         221.046400        0.001         0.001       
512         64        int64     prod      w         62.739199         0.008         0.008       
1024        128       int64     prod      w         61.811203         0.017         0.016       
2048        256       int64     prod      w         62.620801         0.033         0.031       
4096        512       int64     prod      w         62.086397         0.066         0.062       
8192        1024      int64     prod      w         61.107200         0.134         0.126       
16384       2048      int64     prod      w         62.121600         0.264         0.247       
32768       4096      int64     prod      w         62.761599         0.522         0.489       
65536       8192      int64     prod      w         61.491197         1.066         0.999       
131072      16384     int64     prod      w         61.315203         2.138         2.004       
262144      32768     int64     prod      w         61.811203         4.241         3.976       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     and       w         61.900800         0.002         0.002       
256         32        int64     and       w         61.916798         0.004         0.004       
512         64        int64     and       w         62.748802         0.008         0.008       
1024        128       int64     and       w         61.779201         0.017         0.016       
2048        256       int64     and       w         64.278400         0.032         0.030       
4096        512       int64     and       w         61.686403         0.066         0.062       
8192        1024      int64     and       w         60.940802         0.134         0.126       
16384       2048      int64     and       w         61.638403         0.266         0.249       
32768       4096      int64     and       w         232.668805        0.141         0.132       
65536       8192      int64     and       w         62.713599         1.045         0.980       
131072      16384     int64     and       w         60.879999         2.153         2.018       
262144      32768     int64     and       w         61.628801         4.254         3.988       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     or        w         61.471999         0.002         0.002       
256         32        int64     or        w         61.600000         0.004         0.004       
512         64        int64     or        w         62.143999         0.008         0.008       
1024        128       int64     or        w         60.716802         0.017         0.016       
2048        256       int64     or        w         60.822397         0.034         0.032       
4096        512       int64     or        w         62.275201         0.066         0.062       
8192        1024      int64     or        w         61.008000         0.134         0.126       
16384       2048      int64     or        w         61.699200         0.266         0.249       
32768       4096      int64     or        w         62.217599         0.527         0.494       
65536       8192      int64     or        w         61.411202         1.067         1.000       
131072      16384     int64     or        w         61.206400         2.141         2.008       
262144      32768     int64     or        w         62.463999         4.197         3.934       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     xor       w         61.391997         0.002         0.002       
256         32        int64     xor       w         62.038398         0.004         0.004       
512         64        int64     xor       w         61.427200         0.008         0.008       
1024        128       int64     xor       w         62.246400         0.016         0.015       
2048        256       int64     xor       w         61.507201         0.033         0.031       
4096        512       int64     xor       w         62.236798         0.066         0.062       
8192        1024      int64     xor       w         61.308801         0.134         0.125       
16384       2048      int64     xor       w         62.140799         0.264         0.247       
32768       4096      int64     xor       w         61.132801         0.536         0.503       
65536       8192      int64     xor       w         62.313598         1.052         0.986       
131072      16384     int64     xor       w         61.830401         2.120         1.987       
262144      32768     int64     xor       w         61.695999         4.249         3.983       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     min       w         62.499201         0.002         0.002       
256         32        int64     min       w         62.265599         0.004         0.004       
512         64        int64     min       w         61.865598         0.008         0.008       
1024        128       int64     min       w         62.176001         0.016         0.015       
2048        256       int64     min       w         62.041599         0.033         0.031       
4096        512       int64     min       w         62.156802         0.066         0.062       
8192        1024      int64     min       w         61.993599         0.132         0.124       
16384       2048      int64     min       w         61.961597         0.264         0.248       
32768       4096      int64     min       w         61.798400         0.530         0.497       
65536       8192      int64     min       w         62.655997         1.046         0.981       
131072      16384     int64     min       w         62.166399         2.108         1.977       
262144      32768     int64     min       w         61.446398         4.266         4.000       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     max       w         61.779201         0.002         0.002       
256         32        int64     max       w         62.246400         0.004         0.004       
512         64        int64     max       w         61.663997         0.008         0.008       
1024        128       int64     max       w         60.720003         0.017         0.016       
2048        256       int64     max       w         62.169600         0.033         0.031       
4096        512       int64     max       w         62.239999         0.066         0.062       
8192        1024      int64     max       w         61.635202         0.133         0.125       
16384       2048      int64     max       w         61.766398         0.265         0.249       
32768       4096      int64     max       w         61.596799         0.532         0.499       
65536       8192      int64     max       w         61.699200         1.062         0.996       
131072      16384     int64     max       w         62.131202         2.110         1.978       
262144      32768     int64     max       w         65.580797         3.997         3.747       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     sum       b         60.022402         0.001         0.001       
128         32        int32     sum       b         60.070401         0.002         0.002       
