Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          4         int64     max       w         12.416000         0.003         0.005       
64          8         int64     max       w         12.435200         0.005         0.009       
128         16        int64     max       w         12.550400         0.010         0.018       
256         32        int64     max       w         14.457600         0.018         0.031       
512         64        int64     max       w         14.188799         0.036         0.063       
1024        128       int64     max       w         15.692800         0.065         0.114       
2048        256       int64     max       w         20.761600         0.099         0.173       
4096        512       int64     max       w         28.998399         0.141         0.247       
8192        1024      int64     max       w         43.731201         0.187         0.328       
16384       2048      int64     max       w         76.377600         0.215         0.375       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       b         14.137600         0.000         0.000       
8           2         int32     sum       b         7.596800          0.001         0.002       
16          4         int32     sum       b         7.737600          0.002         0.004       
32          8         int32     sum       b         7.737600          0.004         0.007       
64          16        int32     sum       b         7.577600          0.008         0.015       
128         32        int32     sum       b         7.520000          0.017         0.030       
256         64        int32     sum       b         7.539200          0.034         0.059       
512         128       int32     sum       b         7.603200          0.067         0.118       
1024        256       int32     sum       b         9.363200          0.109         0.191       
2048        512       int32     sum       b         12.499200         0.164         0.287       
4096        1024      int32     sum       b         17.427200         0.235         0.411       
8192        2048      int32     sum       b         22.310400         0.367         0.643       
16384       4096      int32     sum       b         56.844801         0.288         0.504       
32768       8192      int32     sum       b         105.977595        0.309         0.541       
65536       16384     int32     sum       b         205.849600        0.318         0.557       
131072      32768     int32     sum       b         409.350395        0.320         0.560       
262144      65536     int32     sum       b         808.864021        0.324         0.567       
524288      131072    int32     sum       b         1611.686325       0.325         0.569       
1048576     262144    int32     sum       b         3220.633698       0.326         0.570       
2097152     524288    int32     sum       b         6431.654358       0.326         0.571       
4194304     1048576   int32     sum       b         12865.548706      0.326         0.571       
