Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
16384       4096      int32     or        b         63.446403         0.258         0.242       
32768       8192      int32     or        b         61.033601         0.537         0.503       
65536       16384     int32     or        b         61.171198         1.071         1.004       
131072      32768     int32     or        b         61.769599         2.122         1.989       
262144      65536     int32     or        b         60.694402         4.319         4.049       
524288      131072    int32     or        b         60.521603         8.663         8.121       
1048576     262144    int32     or        b         61.353600         17.091        16.023      
2097152     524288    int32     or        b         60.912001         34.429        32.277      
4194304     1048576   int32     or        b         61.670399         68.012        63.761      
8388608     2097152   int32     or        b         60.806400         137.956       129.334     
16777216    4194304   int32     or        b         62.281603         269.377       252.541     
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     xor       b         60.912001         0.001         0.001       
128         32        int32     xor       b         60.809600         0.002         0.002       
256         64        int32     xor       b         60.761601         0.004         0.004       
512         128       int32     xor       b         61.228800         0.008         0.008       
1024        256       int32     xor       b         61.295998         0.017         0.016       
2048        512       int32     xor       b         60.745603         0.034         0.032       
4096        1024      int32     xor       b         62.892801         0.065         0.061       
8192        2048      int32     xor       b         61.065602         0.134         0.126       
16384       4096      int32     xor       b         63.657600         0.257         0.241       
32768       8192      int32     xor       b         61.177599         0.536         0.502       
65536       16384     int32     xor       b         60.742402         1.079         1.011       
131072      32768     int32     xor       b         60.905600         2.152         2.018       
262144      65536     int32     xor       b         61.289603         4.277         4.010       
524288      131072    int32     xor       b         60.207999         8.708         8.164       
1048576     262144    int32     xor       b         62.950402         16.657        15.616      
2097152     524288    int32     xor       b         60.745603         34.524        32.366      
4194304     1048576   int32     xor       b         62.076801         67.566        63.343      
8388608     2097152   int32     xor       b         61.167997         137.140       128.569     
16777216    4194304   int32     xor       b         63.590401         263.833       247.343     
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     min       b         61.567998         0.001         0.001       
128         32        int32     min       b         61.715198         0.002         0.002       
256         64        int32     min       b         62.220800         0.004         0.004       
512         128       int32     min       b         61.670399         0.008         0.008       
1024        256       int32     min       b         61.385602         0.017         0.016       
2048        512       int32     min       b         63.158399         0.032         0.030       
4096        1024      int32     min       b         61.747199         0.066         0.062       
8192        2048      int32     min       b         62.201601         0.132         0.123       
16384       4096      int32     min       b         60.668802         0.270         0.253       
32768       8192      int32     min       b         62.137598         0.527         0.494       
65536       16384     int32     min       b         60.995197         1.074         1.007       
131072      32768     int32     min       b         60.313600         2.173         2.037       
262144      65536     int32     min       b         61.228800         4.281         4.014       
524288      131072    int32     min       b         62.233597         8.425         7.898       
1048576     262144    int32     min       b         60.684800         17.279        16.199      
2097152     524288    int32     min       b         61.043203         34.355        32.208      
