Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
256         32        int64     sum       w         12.006400         0.021         0.037       
512         64        int64     sum       w         12.812801         0.040         0.070       
1024        128       int64     sum       w         15.193599         0.067         0.118       
2048        256       int64     sum       w         19.382399         0.106         0.185       
4096        512       int64     sum       w         27.625600         0.148         0.259       
8192        1024      int64     sum       w         43.196800         0.190         0.332       
16384       2048      int64     sum       w         75.203198         0.218         0.381       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     prod      w         11.939200         0.001         0.001       
16          2         int64     prod      w         12.000000         0.001         0.002       
32          4         int64     prod      w         12.006400         0.003         0.005       
64          8         int64     prod      w         11.964800         0.005         0.009       
128         16        int64     prod      w         11.958400         0.011         0.019       
256         32        int64     prod      w         11.952000         0.021         0.037       
512         64        int64     prod      w         12.851200         0.040         0.070       
1024        128       int64     prod      w         15.299200         0.067         0.117       
2048        256       int64     prod      w         19.398400         0.106         0.185       
4096        512       int64     prod      w         27.590400         0.148         0.260       
8192        1024      int64     prod      w         43.126401         0.190         0.332       
16384       2048      int64     prod      w         74.262398         0.221         0.386       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     and       w         11.964800         0.001         0.001       
16          2         int64     and       w         11.961600         0.001         0.002       
32          4         int64     and       w         11.977600         0.003         0.005       
64          8         int64     and       w         11.977600         0.005         0.009       
128         16        int64     and       w         12.070400         0.011         0.019       
256         32        int64     and       w         11.948800         0.021         0.037       
512         64        int64     and       w         12.803200         0.040         0.070       
1024        128       int64     and       w         15.254401         0.067         0.117       
2048        256       int64     and       w         19.408000         0.106         0.185       
4096        512       int64     and       w         27.564800         0.149         0.260       
8192        1024      int64     and       w         42.361599         0.193         0.338       
16384       2048      int64     and       w         73.369598         0.223         0.391       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     or        w         12.790400         0.001         0.001       
16          2         int64     or        w         12.080000         0.001         0.002       
32          4         int64     or        w         12.022400         0.003         0.005       
64          8         int64     or        w         11.948800         0.005         0.009       
128         16        int64     or        w         12.057600         0.011         0.019       
256         32        int64     or        w         11.968000         0.021         0.037       
512         64        int64     or        w         12.876800         0.040         0.070       
1024        128       int64     or        w         15.372799         0.067         0.117       
2048        256       int64     or        w         19.379200         0.106         0.185       
4096        512       int64     or        w         27.596799         0.148         0.260       
8192        1024      int64     or        w         42.291200         0.194         0.339       
16384       2048      int64     or        w         73.487997         0.223         0.390       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       w         11.980800         0.001         0.001       
16          2         int64     xor       w         12.057600         0.001         0.002       
32          4         int64     xor       w         11.958400         0.003         0.005       
64          8         int64     xor       w         12.009600         0.005         0.009       
128         16        int64     xor       w         12.060800         0.011         0.019       
256         32        int64     xor       w         12.044800         0.021         0.037       
512         64        int64     xor       w         12.857600         0.040         0.070       
1024        128       int64     xor       w         15.196800         0.067         0.118       
2048        256       int64     xor       w         19.350401         0.106         0.185       
4096        512       int64     xor       w         27.548799         0.149         0.260       
8192        1024      int64     xor       w         42.355201         0.193         0.338       
16384       2048      int64     xor       w         73.395199         0.223         0.391       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     min       w         12.809600         0.001         0.001       
16          2         int64     min       w         12.051200         0.001         0.002       
32          4         int64     min       w         12.041600         0.003         0.005       
64          8         int64     min       w         12.057600         0.005         0.009       
128         16        int64     min       w         12.019200         0.011         0.019       
256         32        int64     min       w         11.987200         0.021         0.037       
512         64        int64     min       w         12.857600         0.040         0.070       
1024        128       int64     min       w         15.379199         0.067         0.117       
2048        256       int64     min       w         19.388799         0.106         0.185       
4096        512       int64     min       w         27.616000         0.148         0.260       
8192        1024      int64     min       w         43.094400         0.190         0.333       
16384       2048      int64     min       w         75.088000         0.218         0.382       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     max       w         11.980800         0.001         0.001       
16          2         int64     max       w         11.952000         0.001         0.002       
32          4         int64     max       w         12.080000         0.003         0.005       
64          8         int64     max       w         12.028800         0.005         0.009       
128         16        int64     max       w         12.060800         0.011         0.019       
256         32        int64     max       w         12.025600         0.021         0.037       
512         64        int64     max       w         12.844799         0.040         0.070       
1024        128       int64     max       w         15.257600         0.067         0.117       
2048        256       int64     max       w         19.363201         0.106         0.185       
4096        512       int64     max       w         27.632001         0.148         0.259       
8192        1024      int64     max       w         43.129599         0.190         0.332       
16384       2048      int64     max       w         75.075197         0.218         0.382       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       b         13.635200         0.000         0.001       
8           2         int32     sum       b         6.243200          0.001         0.002       
16          4         int32     sum       b         6.316800          0.003         0.004       
32          8         int32     sum       b         6.352000          0.005         0.009       
64          16        int32     sum       b         6.249600          0.010         0.018       
128         32        int32     sum       b         6.188800          0.021         0.036       
256         64        int32     sum       b         6.204800          0.041         0.072       
512         128       int32     sum       b         6.217600          0.082         0.144       
1024        256       int32     sum       b         7.913600          0.129         0.226       
2048        512       int32     sum       b         11.094400         0.185         0.323       
4096        1024      int32     sum       b         16.867200         0.243         0.425       
8192        2048      int32     sum       b         21.001600         0.390         0.683       
16384       4096      int32     sum       b         56.297600         0.291         0.509       
32768       8192      int32     sum       b         104.627204        0.313         0.548       
65536       16384     int32     sum       b         205.311990        0.319         0.559       
131072      32768     int32     sum       b         408.486414        0.321         0.562       
262144      65536     int32     sum       b         809.871960        0.324         0.566       
524288      131072    int32     sum       b         1616.841507       0.324         0.567       
1048576     262144    int32     sum       b         3225.897598       0.325         0.569       
